ID LOCAL;N° SUC;ID CADENA;NOMBRE;BOCA;DIRECCION;Localidad;ZONA;REGION
MBS1;1;MBS;MAYORISTA BUEN SOL;Santa fe;Santiago del Estero 2231;Santa Fe;INT42;SANTA FE
AIE1;1;AIE;AIELLO;La Punta (1);Av. Serrana S/N;San Luis;INT39;SAN LUIS
AIE10;10;AIE;AIELLO;Sucre (10);Av. Pte. Peron 1024;San Luis;INT39;SAN LUIS
AIE2;2;AIE;AIELLO;Falucho (2);Falucho 1852;San Luis;INT39;SAN LUIS
AIE3;3;AIE;AIELLO;Favaloro (3);Los Puntanitos 2625;San Luis;INT39;SAN LUIS
AIE4;4;AIE;AIELLO;Juana Koslay (4);Av. Viento Chorrillero 2083;San Luis;INT39;SAN LUIS
AIE5;5;AIE;AIELLO;Lince (5);Jose Zavala 451;San Luis;INT39;SAN LUIS
AIE6;6;AIE;AIELLO;Lomas (6);Houssay y Algarrobos;San Luis;INT39;SAN LUIS
AIE7;7;AIE;AIELLO;Loyola (7);Av. Pte. Peron 2115;San Luis;INT39;SAN LUIS
AIE8;8;AIE;AIELLO;Riobamba (8);Riobamba 1600;San Luis;INT39;SAN LUIS
AIE9;9;AIE;AIELLO;San Martin (9);San Martin 575;San Luis;INT39;SAN LUIS
ALV1;1;ALV;ALVEAR;4 de Enero (1);4 de Enero 2250;Santa Fe;INT42;SANTA FE
ALV2;2;ALV;ALVEAR;Gral. Lopez (2);Gral. Lopez 3271;Santa Fe;INT42;SANTA FE
ALV3;3;ALV;ALVEAR;Corrientes (3);Gral. Paz 932;Santa Fe;INT42;SANTA FE
ALV4;4;ALV;ALVEAR;Freyre (4);Gdor. Freyre 946;Santa Fe;INT42;SANTA FE
ALV5;5;ALV;ALVEAR;Iriondo (5);Iriondo 2137;Santa Fe;INT42;SANTA FE
ALV6;6;ALV;ALVEAR;San Martin (6);San Martin 3243;Santa Fe;INT42;SANTA FE
ALV7;7;ALV;ALVEAR;San Jeronimo (7);San Jerónimo 3073;Santa Fe;INT42;SANTA FE
ALV8;8;ALV;ALVEAR;Gral Paz (8);Gral. Paz 6800;Santa Fe;INT42;SANTA FE
ALV9;9;ALV;ALVEAR;Alvear (9);Alvear 3919;Santa Fe;INT42;SANTA FE
ATO1;1;ATO;ATOMO;Central (1);San Martin 2430;Mendoza;INT28;MENDOZA
ATO102;102;ATO;ATOMO;Zonda 4 (102);Av. España Sur 1500;San Juan;INT38;SAN JUAN
ATO105;105;ATO;ATOMO;Villa Mercedes 3 (105);San Martin 1562;V.Mercedes;INT40;SAN LUIS
ATO107;107;ATO;ATOMO;Gutemberg (107);Gutemberg 2652;Mendoza;INT28;MENDOZA
ATO109;109;ATO;ATOMO;Serrano  (109);Chapanay 3210;Mendoza;INT28;MENDOZA
ATO11;11;ATO;ATOMO;Nuevo Marini (11);Rivadavia 1653;Mendoza;INT28;MENDOZA
ATO112;112;ATO;ATOMO;Fatima (112);Av. Alem Norte 358;San Rafael;INT29;MENDOZA
ATO114;114;ATO;ATOMO;Pocitos (114);Av. Mendoza 780;San Juan;INT38;SAN JUAN
ATO115;115;ATO;ATOMO;El Cisne (115);Elpidio Gonzalez 2890;Mendoza;INT28;MENDOZA
ATO116;116;ATO;ATOMO;Correa Saa (116);Benjamin Matienzo 1481;Mendoza;INT28;MENDOZA
ATO117;117;ATO;ATOMO;Trome (117);Julio A. Roca 97;Mendoza;INT28;MENDOZA
ATO118;118;ATO;ATOMO;Olascoaga (118);Olascoaga 2550;Mendoza;INT28;MENDOZA
