ID CAT;NOMBRE
CAT1;CAFÉ
CAT10;ALFAJORES
CAT11;OBLEAS
CAT12;ALIMENTO GATOS
CAT13;ALIMENTO PERROS
CAT14;TINTURA MASCULINA
CAT15;BARRIDOS
CAT16;ESPONJA METALICA
CAT17;ESPONJAS
CAT18;GUANTES
CAT19;LANA DE ACERO
CAT2;FIESTAS
CAT20;PAÑOS
CAT21;SECADO
CAT22;DULCE DE LECHE
CAT23;QUESO AZUL
CAT24;QUESO CREMA
CAT25;JUGO DE FRUTA
CAT26;LECHE
CAT27;LECHE CONDENSADA
CAT28;QUESO RALLADO
CAT29;QUESOS DUROS
CAT3;GALLETAS AZUCARADAS
CAT30;BEBIDAS ALCOHOLICAS
CAT31;CONSERVAS
CAT32;PULPAS DE FRUTAS
CAT33;PASTAS FRESCAS
CAT34;TAPA EMPANADAS
CAT35;TAPA PASCUALINAS
CAT36;HARINA DE MAIZ
CAT37;PASTAS SECAS
CAT38;DULCES
CAT39;MERMELADAS
CAT4;GOLOSINAS
CAT40;GEL INTIMO
CAT41;PRESERVATIVOS
CAT42;FIDEOS SIN GLUTEN
CAT43;YOGURT
CAT44;TE
CAT45;YERBA
CAT46;EMBUTIDOS
CAT47;PAÑUELOS
CAT48;PAPEL HIGIENICO
CAT49;ROLLO COCINA
CAT5;PASCUAS
CAT50;FOSFOROS
CAT51;VELAS
CAT52;ALGODÓN
CAT53;PAÑALES
CAT54;TOALLITAS/PROTECTORES
CAT55;SUPLEMENTOS VITAMINICOS
CAT56;FIAMBRES
CAT57;BEBDIDAS
CAT58;BAZAR
CAT59;ISOPOS
CAT6;REPOSTERIA
CAT60;PUERICULTURA
CAT61;TOALLITAS HUMEDAS  
CAT62;GALLETAS
CAT63;ADITIVOS COMBUSTIBLE
CAT64;FRAGANCIA AUTOMOTOR
CAT65;LIMPIEZA AUTOMOTOR 
CAT67;LEVADURA
CAT68;LINTERNAS / CARGADORES
CAT69;PILAS 
CAT7;TOSTADAS
CAT70;ILUMINACION
CAT71;COMIDA CONGELADA
CAT72;PERFUMERIA
CAT73;SAL
CAT74;VINAGRE
CAT75;ADEREZO
CAT76;ALIMENTOS COGELADOS
CAT77;ENCURTIDOS
CAT78;PANIFICADOS
CAT79;GALLETITAS
CAT8;GALLETAS ARROZ
CAT80;LIMPIEZA  
CAT81;ALMACEN
CAT82;FRESCOS
CAT83;HELADOS
CAT9;SNACKS
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
