ID;RAZON SOCIAL;NOMBRE COMERCIAL;BO;COMERCIAL;DIRECCION;CUIIT
1;BONAFIDE S.A.I.C.;BONAFIDE;PD;MR;CERRITO  1130 6 B - CAPITAL FEDERAL-CP 1010;30-50121458-9
2;CEREALKO S.A.;CEREALKO;PD;CL;RUTA 8  5264 - BUENOS AIRES;30-69098835-2
3;LINDABELL S.A.;INECTO;DT;LL;ALVAREZ JONTE AV. 1684- CAPITAL FEDERAL -CP 1416;30-70742550-0
4;ALEXVIAN S.A.C.I.F.I.A;GUAYMALLEN;PD;MR;MARTINIANO LEGUIZAMON  1287  - CAPITAL FEDERAL- CP 1440;33-52190283-9
5;ALIMENTARIA MONTECRISTO S.R.L.;OBLITA;PD;CS;AV. SAN MARTIN  3621 - PATERNAL-CAPITAL FEDERAL- CP 1416;30-64476137-8
6;AGROINDUSTRIA BAIRES S.A.;KONGO;FV;MR;RUTA PROV. 30KM 88500 88500  - BUENOS AIRES - CP 1741;33-70726132-9
7;COMBE ARGENTINA S.R.L.;COMBE;PD;PG;QUIROS  2615  - CAPITAL FEDERAL- CP 1424;30-70097650-1
8;MAPA VIRULANA S.A.I.C.;VIRULANA;PD;CS;"RUTA PANAMERICANA KM. 37,5 0  -CENTRO INDUSTRIAL GARÍN-BUENOS AIRES-CP 1619";30-50081143-5
9;ESTABLECIEMIENTO SAN IGNACIO S.A.;SAN IGNACIO;FV;LL;CALLAO 384 5 2- CAPITAL FEDERAL-CP 1022;30-55945309-5
10;FENIX S.A.;ZUMMY;FV;LL;RUTA NACIONAL 1800 - KM 8000 0  - MENDOZA;30-67224214-9
11;LA BLANQUITA SRL;LA BLANQUITA;FV;LL;"RUTA  PROVINCIAL Nº 32, km 31 - ENTRE RIOS- CP 3109";30-71037469-0
12;REGIONAL TRADE SA;BAHIA;DT;CL;PJE ANTONIO FALUCHO 2552  - SANTA FE- CP 3000;30-64038209-7
13;GUALTIERI HNOS S.A.;LA ITALIANA;FV;LL;RUTA NACIONAL 158 (KM.0) 158  - CORDOBA-CP 5822;30-66911290-0
14;INPAL FOODS S.A.;NUTRISUR;PD;LL;LAVALLE 310 3 - CAPITAL FEDERAL- CP 1047;30-70981316-8
15;DULFIX S.A.;EMETH;PD;MR;PASO 962  962  - BUENOS AIRES-CP 1702;30-64221935-5
16;BUHL SA;PRIME;PD;PG;URUGUAY 485 10 - CAPITAL FEDERAL-CP 1015;30-63780514-9
17;REJO SA;GOODSHOW;NT;LL;LIBERTAD 6120 0  - BUENOS AIRES-CP 1653;30-70969845-8
18;MARLOMS SRL;MARLOMS;NT;MR;BEAUCHEFF  4963  - BUENOS AIRES-CP 1615;30-70853816-3
18;WAKAS S.A.;WAKAS;NT;MR;BEAUCHEFF  4963  - BUENOS AIRES- CP 1615;30-71541533-6
19;PROLAIT S.R.L.;BEAUDROIT;DT;CS;GALICIA  1477  -CAPITAL FEDERAL-CP 1416;30-71566489-1
20;AMSA S.A.;PAJARO AZUL;DT;CS; KM 10 LOTE 40 B COLONIA YERBA 0 - MISIONES;30-70970641-8
21;LA DIVISA S.R.L.;LA DIVISA;DT;MR;PASAJE ESTONIA  2135  - CAPITAL FEDERAL- CP 1440;30-57008057-8
22;LA CACHUERA SA;AMANDA;NT;CL;AV RADEMACHER 2653  - MISIONES- CP 3300;30-50883497-3
23;Celulosa Campana S.A;CELULOSA CAMPANA;NT;CS;DARRAGUEIRA  1261  -VALENTIN ALSINA- CP 1822;30-59797159-8
24;CORPORACION DEL BOSQUE S.A.;DULKRE;DT;LL;COLECTORA GAONA NORTE 13201  - BUENOS AIRES- CP 1746;30-70987183-4
25;COMPAÑÍA GRAL DE FOSFOROS SUD AMERICANA SA;SUDAMERICANA;FV;LL;CALLE 41 EX ITALIA 7620  - BUENOS AIRES- CP 1656;30-50076567-0
26;LENTERDIT SA;LENTERDIT;DT;MR;MATHEU 2290 - SAN JUSTO- CP 1754;33-57332947-9
27;PLENARIO S.A.;PLENARIO;NT;MR;MORIONDO 3737  - CAPITAL FEDERAL- CP 1676;30-51919838-6
28;WEB SUPPLEMENTS SRL;WEB SUPLEMENT;DT;MR;OBISPO SALGUERO 507- CORDOBA- CP 5000;30-70953977-5
29;FRIGORIFICO EL BIERZO S.A.;EL BIERZO;FV;CS;BRAGADO 6759  -MATADEROS-CAPITAL FEDERAL;30-50515037-2
30;DELLEPIANE SAN LUIS S.A.;DELLEPIANE;PD;LL;KM 755.500 RAUTA NAC. 148 0  - SAN LUIS-CP 5730;30-62232429-2
31;PRIFAMON SAIC;PRIFAMON;FV;LL;AV ADER  638  -BOULOGNE- BUENOS AIRES;30-50058318-1
32;PRODUCTOS SORIANO S.R.L.;SORIANO;NT;LL;AV. CORRIENTES 880 14 - CAPITAL FEDERAL- CP 1036;30-67968103-2
34;FRANCISCO SALZANO S.A.;SALZANO;DT;LL;CALLE 47 AUTO BS AS PLATA KM30 6750  - PLATANOS-BUENOS AIRES- CP 1885;30-51561763-5
35;ENERGIZER ARGENTINA S.A.;AUTOREFRESH;FV;LL; EDISON  2659 3 B -BUENOS AIRES- CP 1640;30-70733953-1
36;V Y V ALIMENTOS S.A.;LAS BRISAS;FV;LL;TABARES 5751 5751  - SANTA FE;33-71141307-9
37;SAF ARGENTINA SA ;LEVADURA;DT;LL;JOSE A CABRERA  4338  - CAPITAL FEDERAL;30-67988839-7
38;MARCELO CUETO S.A.;BREVISS;FV;LL;VERAZZI  966  - BUENOS AIRES- CP 1650;30-67706015-4
39;ENERGIZER ARGENTINA S.A.;ENERGIZER;FV;LL; EDISON  2659 3 B- BUENOS AIRES- CP 1640;30-70733953-1
40;CORDEIRO Y CIA  S.R.L.;VERDE FLOR;PD;LL;AV. MANUEL SAVIO 5656 LOTE 3 F 0  - CORDOBA- CP 5123;30-61168950-7
41;DISPITA S.A;DISPITA;NT;MR;CATAMARCA 1406 3 - CAPITAL FEDERAL- CP 1246;30-71479470-8
42;GDC ARGENTINA S.A;GOMES DA COSTA;FV;LL;CARLOS PELLEGRINI  989 P 6- CAPITAL FEDERAL- CP 1009;30-70836960-4
44;CANDIL ILUMINACION  SRL;CANDIL;DT;SM;AV GAONA 2388  - CAPITAL FEDERAL- CP 1416;30-70817158-8
45;FUBAO FOOD COMPANY ARGENTINA S;FUBAO;FV;LL;ECHEVERRIA 1515 0  --CAPITAL FEDERAL-CP;30-71567033-6
46;ROS MATERIALES ELECTRICOS SRL;ILUMINARIA SAN JUSTO;PD;SM;PARQUE INDUSTRIAL LA MATANZA - 0  - CAPITAL FEDERAL- CP 1764;30-63320183-4
47;BABASAL SRL;JUGOS TUTTI;DT;PG;LIBERTAD  1371   -CAPITAL FEDERAL- CP 1016;30-71405671-5
48;GRUPO ANDINO SA;ESTRELLA;NT;PG;CALLE 11  758  -(PQUE INDUSTRIAL)-BUENOS AIRES- CP 1633;33-69482124-9
50;LINEA PARA EL BEBE BABELITO S A;BABELITO;PD;PG;LOS PATOS  2584  - BUENOS AIRES-CP 1643;30-59849898-5
51;COMPAÑIA INTRODUCTORA DE BUENOS AIRES SA;DOS ANCLAS;NT;SM;CHILE 778  - CAPITAL FEDERAL- CP 1098;30-50129032-3
52;MENOYO SA;MENOYO;FV;PG;AV MITRE  3116  -MUNRO-BUENOS AIRES;30-56973541-2
55;EL NOBLE DEL SUR S.A;EL NOBLE;FV;LL;MANUEL SAVIO 629  - PARQUE IN. OKS- BUENOS AIRES- CP 1619;30-71123782-4
56;DULCOR SA;ESNAOLA- DULCOR;DT;LL;AV ELVIO ELADIO RIBA 1615  - ARROYITO-CORDOBA- CP 2434;30-54759682-6
57;PILARES COMPAÑIA ALIMENTICIA SA;GAONA;PD;LL;AV PRESIDENTE FRONZIDI 2911  -PARQUE INDUSTRIAL PILAR-BUENOS AIRES-CP 1629;30-71137523-2
58;PACKALL SRL;ANCHOPACKAGING;NT;LL;RODO JOSE ENRIQUE 5658 2 - CAPITAL FEDERAL- CP 1440;30-66156125-0
