CLIENTE;BOCA;FRECUENCIASEMANAL;INTENSIDADXFRECUENCIA
9;INC1;4;1
9;INC2;4;1
9;INC5;3;1
9;INC6;4;1
9;INC7;2;1
9;INC8;3;1
9;INC10;3;1
9;INC11;3;1
9;INC12;2;1
9;INC16;3;1
9;INC18;2;1
9;INC20;3;1
9;INC21;3;1
9;INC23;3;1
9;INC25;4;1
9;INC26;2;1
9;INC28;3;1
9;INC30;2;1
9;INC32;2;1
9;INC33;2;1
9;INC36;2;1
9;INC40;2;1
9;INC42;2;1
9;INC43;2;1
9;INC47;2;1
9;INC49;2;1
9;INC51;2;1
9;INC62;2;1
9;INC101;1;1
9;INC115;1;1
9;INC116;2;1
9;INC118;2;1
9;INC120;2;1
9;INC150;2;1
9;INC182;2;1
9;INC183;2;1
9;INC187;2;1
9;INC189;1;1
9;INC195;2;1
9;INC198;1;1
9;INC201;1;1
9;INC202;1;1
9;INC203;1;1
9;INC204;3;1
9;INC205;2;1
9;INC206;2;1
9;INC209;2;1
9;INC211;2;1
9;INC212;1;1
9;INC214;3;1
9;INC215;1;1
9;INC216;2;1
9;INC218;2;1
9;INC219;2;1
9;INC220;2;1
9;INC221;2;1
9;INC226;2;1
9;INC227;2;1
9;INC228;2;1
9;INC231;2;1
9;INC234;2;1
9;INC237;1;1
9;INC239;2;1
9;INC241;2;1
9;INC252;1;1
9;INC253;2;1
9;INC254;1;1
9;INC258;1;1
9;INC268;2;1
9;INC272;2;1
9;INC277;2;1
9;INC278;1;1
9;INC294;3;1
9;INC15;4;1
9;INC703;2;1
9;INC702;2;1
9;INC701;2;1
9;INC24;2;1
9;INC9;2;1
9;INC54;2;1
9;INC50;2;1
9;INC707;2;1
9;INC295;2;1
9;INC17;2;1
9;INC29;2;1
9;INC282;2;1
9;INC59;2;1
9;INC283;2;1
9;INC287;2;1
9;INC290;2;1
9;CHM1039;1;1
9;CHM1067;2;1
9;COT2;2;1
9;COT19;2;1
9;COT24;2;1
9;COT41;2;1
9;COT43;2;1
9;COT44;3;1
9;COT45;2;1
9;COT47;2;1
9;COT48;2;1
9;COT51;2;1
9;COT52;2;1
9;COT55;2;1
9;COT56;2;1
9;COT57;2;1
9;COT58;2;1
9;COT60;3;1
9;COT61;2;1
9;COT63;2;1
9;COT64;3;1
9;COT65;2;1
9;COT66;2;1
9;COT67;2;1
9;COT68;2;1
9;COT69;3;1
9;COT74;2;1
9;COT75;3;1
9;COT78;3;1
9;COT80;3;1
9;COT82;2;1
9;COT83;2;1
9;COT84;2;1
9;COT85;2;1
9;COT90;2;1
9;COT91;4;1
9;COT92;3;1
9;COT95;2;1
9;COT96;2;1
9;COT97;2;1
9;COT99;2;1
9;COT101;2;1
9;COT103;2;1
9;COT105;2;1
9;COT107;3;1
9;COT108;2;1
9;COT109;1;1
