ID;NOMBRE;REGION;RESPONSABLE ZONA
CABA1;CAPITAL FEDERAL 1;CABA;GL
CABA2;CAPITAL FEDERAL 2;CABA;FN
INT01;MAR DEL PLATA;BUENOS AIRES;FN
INT04;BAHIA BLANCA;BUENOS AIRES;FN
INT05;JUNIN;BUENOS AIRES;CLT
INT06;SAN NICOLAS;BUENOS AIRES;AR
INT07;TANDIL;BUENOS AIRES;CLT
INT08;OLAVARRIA;BUENOS AIRES;CLT
INT09;PERGAMINO;BUENOS AIRES;CLT
INT10;CATAMARCA;CATAMARCA;GL
INT11;RESISTENCIA;CHACO;GL
INT12;COMODORO RIVADAVIA;CHUBUT;DR
INT13;ESQUEL;CHUBUT;MM
INT14;PUERTO MADRYN;CHUBUT;MM
INT15;TRELEW;CHUBUT;DR
INT16;CORDOBA;CORDOBA;RV
INT17;RIO CUARTO;CORDOBA;RV
INT18;VILLA MARIA;CORDOBA;RV
INT19;CORRIENTES;CORRIENTES;GL
INT20;CONCEPCION;ENTRE RIOS;CLT
INT21;CONCORDIA;ENTRE RIOS;CLT
INT22;GUALEGUAYCHU;ENTRE RIOS;CLT
INT23;PARANA;ENTRE RIOS;MMT
INT24;JUJUY;JUJUY;CLT
INT25;GENERAL PICO;LA PAMPA;DR
INT26;SANTA ROSA;LA PAMPA;DR
INT27;LA RIOJA;LA RIOJA;GL
INT28;MENDOZA;MENDOZA;RV
INT29; SAN RAFAEL;MENDOZA;RV
INT30;TUNUYAN;MENDOZA;RV
INT31;POSADAS;MISIONES;GL
INT32;NEUQUEN;NEUQUEN;DR
INT33;VIEDMA;RIO NEGRO;DR
INT34;CIPOLETTI;RIO NEGRO;DR
INT35;BARILOCHE;RIO NEGRO;DR
INT36;GENERAL ROCA;RIO NEGRO;DR
INT37;SALTA;SALTA;GL
INT38;SAN JUAN;SAN JUAN;RV
INT39;SAN LUIS;SAN LUIS;RV
INT40;VILLA MERCEDES;SAN LUIS;RV
INT41;RAFAELA;SANTA FE;MM
INT42;SANTA FE;SANTA FE;MMT
INT43;ROSARIO;SANTA FE;AR
INT44;VENADO TUERTO;SANTA FE;MM
INT45;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;RV
INT46;SANTA CRUZ;SANTA CRUZ;DR
INT47;RIO GRANDE;TIERRA DEL FUEGO;DR
INT48;TUCUMAN;TUCUMAN;RV
ZN1;GBA NORTE 1;AMBA;DR
ZN2;GBA NORTE 2;AMBA;AR
ZO;GBA OESTE;AMBA;MMT
ZS;GBA SUR;AMBA;CLT
