ID CLIENTE;NOMBRE
1;CAT1
1;CAT2
1;CAT3
1;CAT4
1;CAT5
1;CAT6
1;CAT7
2;CAT8
2;CAT9
4;CAT10
5;CAT11
6;CAT12
6;CAT13
7;CAT14
8;CAT15
8;CAT16
8;CAT17
8;CAT18
8;CAT19
8;CAT20
8;CAT21
9;CAT22
9;CAT23
9;CAT24
10;CAT25
11;CAT26
11;CAT27
11;CAT28
11;CAT29
12;CAT30
12;CAT31
12;CAT32
13;CAT33
13;CAT34
13;CAT35
14;CAT36
14;CAT37
15;CAT38
15;CAT39
16;CAT40
16;CAT41
17;CAT9
18;CAT42
18;CAT9
19;CAT43
20;CAT44
20;CAT45
21;CAT46
22;CAT45
23;CAT47
23;CAT48
23;CAT49
25;CAT50
25;CAT51
25;CAT20
26;CAT52
26;CAT53
26;CAT54
27;CAT2
27;CAT4
28;CAT55
29;CAT56
29;CAT46
30;CAT57
31;CAT58
31;CAT59
31;CAT60
31;CAT61
32;CAT62
34;CAT15
34;CAT21
35;CAT63
35;CAT64
35;CAT65
36;CAT25
36;CAT39
37;CAT67
38;CAT62
39;CAT68
39;CAT69
40;CAT45
41;CAT60
41;CAT61
42;CAT31
44;CAT70
45;CAT71
46;CAT70
47;CAT25
48;CAT52
48;CAT53
48;CAT72
48;CAT60
50;CAT60
51;CAT73
51;CAT74
52;CAT75
52;CAT74
55;CAT76
56;CAT38
56;CAT39
56;CAT6
56;CAT77
56;CAT78
57;CAT79
58;CAT80
59;CAT67
60;CAT76
60;CAT81
60;CAT82
61;CAT10
62;CAT83
